date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:12:48	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-59947dbe8c340%22	https://heyleia.com/fonts/glyphicons-halflings-regular.svg	D:/My%20Web%20Sites/website-builder1/heyleia.com/fonts/glyphicons-halflings-regular.svg	(from https://heyleia.com/css/bootstrap.css)
23:12:48	17820/17820	---M--	200	added ('OK')	text/css	etag:%22459c-5dc24c0bd19fc%22	https://heyleia.com/css/stylesheet.css	D:/My%20Web%20Sites/website-builder1/heyleia.com/css/stylesheet.css	(from https://heyleia.com/terms)
23:12:48	48643/48643	---M--	200	added ('OK')	text/css	etag:%22be03-5b14167615bd7%22	https://heyleia.com/css/profile.css	D:/My%20Web%20Sites/website-builder1/heyleia.com/css/profile.css	(from https://heyleia.com/terms)
23:12:48	680496/680496	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668aad8c7d9f38f93221a1dcf9f93805%22	https://use.fontawesome.com/releases/v5.0.8/js/all.js	D:/My%20Web%20Sites/website-builder1/use.fontawesome.com/releases/v5.0.8/js/all.js	(from https://heyleia.com/terms)
23:12:49	62/62	---MCZ	302	error ('Found')	text/plain	date:Wed,%2026%20Apr%202023%2017:42:47%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	D:/My%20Web%20Sites/website-builder1/unpkg.com/sweetalert/dist/sweetalert.min.25.delayed	(from https://heyleia.com/terms)
23:12:49	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	D:/My%20Web%20Sites/website-builder1/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://heyleia.com/terms)
23:12:49	11296/11296	---M--	200	added ('OK')	text/html	etag:%222c20-5e16a681ba8b7%22	https://heyleia.com/privacy	D:/My%20Web%20Sites/website-builder1/heyleia.com/privacy.html	(from https://heyleia.com/terms)
23:12:50	48643/48643	---M--	200	added ('OK')	text/css	etag:%22be03-5b14167615bd7%22	https://heyleia.com/css/profile.css?v=1.1	D:/My%20Web%20Sites/website-builder1/heyleia.com/css/profilef9e3.css	(from https://heyleia.com/upgrade)
23:12:51	439329/439329	---M--	200	added ('OK')	text/css	etag:%226b421-59947d8e294a2%22	https://heyleia.com/assets/css/material-dashboard.css?v=2.1.0	D:/My%20Web%20Sites/website-builder1/heyleia.com/assets/css/material-dashboardf066.css	(from https://heyleia.com/upgrade)
23:12:51	196688/196688	---M--	200	added ('OK')	text/javascript	etag:%2230050-5f41f91ee200f%22	https://heyleia.com/js/profile.js?v=3.9	D:/My%20Web%20Sites/website-builder1/heyleia.com/js/profile9374.js	(from https://heyleia.com/upgrade)
23:12:51	51122/51122	---M--	200	added ('OK')	text/javascript	etag:%22c7b2-5e685287245cf%22	https://heyleia.com/js/index.js	D:/My%20Web%20Sites/website-builder1/heyleia.com/js/index.js	(from https://heyleia.com/upgrade)
23:12:52	17597/17597	---M--	200	added ('OK')	text/javascript	etag:%2278ab37098779af5b%22	https://apis.google.com/js/api:client.js	D:/My%20Web%20Sites/website-builder1/apis.google.com/js/api_client.js	(from https://heyleia.com/upgrade)
23:12:52	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:56%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	D:/My%20Web%20Sites/website-builder1/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://heyleia.com/upgrade)
